record_code;municipality;country;latitude_deg;longitude_deg;temp_celsius;humidity_pct;wind_kmh;measurement_time;origin_code
B-0023;Bogota;CO;4.681228;-74.097719;22.45;83.2;0.51;01/09/2026 22:30;PB
B-0024;Medellin;CO;6.228517;-75.612433;19.78;46.4;14.95;01/09/2026 23:15;PB
B-0025;Cali;CO;3.488253;-76.493286;27.08;55.1;4.83;02/09/2026 00:00;PB
B-0026;Cali;CO;3.477995;-76.504018;18.75;87.7;16.11;02/09/2026 00:45;PB
B-0027;Barranquilla;CO;10.940341;-74.809584;28.43;81.7;31.62;02/09/2026 01:30;PB
B-0028;Barranquilla;CO;10.956573;-74.759346;23.14;58.3;21.95;02/09/2026 02:15;PB
B-0029;Bogota;CO;4.719313;-74.086761;21.71;59.4;21.17;02/09/2026 03:00;PB
B-0030;Cartagena;CO;10.424935;-75.489028;26.19;88.2;22.48;02/09/2026 03:45;PB
B-0031;Bogota;CO;4.721534;-74.077765;31.08;45.0;29.66;02/09/2026 04:30;PB
B-0032;Medellin;CO;6.222528;-75.549693;20.31;89.1;8.85;02/09/2026 05:15;PB
B-0033;Barranquilla;CO;10.947497;-74.759540;29.73;42.3;23.54;02/09/2026 06:00;PB
B-0034;Cartagena;CO;10.361387;-75.442976;23.73;83.7;27.38;02/09/2026 06:45;PB
B-0035;Cali;CO;3.454469;-76.516535;21.86;57.3;23.91;02/09/2026 07:30;PB
B-0036;Cartagena;CO;10.423571;-75.505666;20.02;44.2;3.40;02/09/2026 08:15;PB
B-0037;Bogota;CO;4.673981;-74.097229;30.20;59.5;0.73;02/09/2026 09:00;PB
B-0038;Barranquilla;CO;10.960523;-74.786322;19.43;62.2;13.37;02/09/2026 09:45;PB
B-0039;Medellin;CO;6.207784;-75.615662;18.62;54.0;25.23;02/09/2026 10:30;PB
B-0040;Bogota;CO;4.691596;-74.079010;18.96;55.6;26.04;02/09/2026 11:15;PB
B-0041;Barranquilla;CO;10.999006;-74.792132;29.78;79.6;3.22;02/09/2026 12:00;PB
B-0042;Medellin;CO;6.239076;-75.608673;31.81;78.4;31.21;02/09/2026 12:45;PB
B-0043;Cartagena;CO;10.420711;-75.510223;22.24;91.0;29.89;02/09/2026 13:30;PB
B-0044;Medellin;CO;6.227467;-75.579035;31.42;47.8;15.74;02/09/2026 14:15;PB
B-0045;Bogota;CO;4.734584;-74.097056;25.37;79.4;12.33;02/09/2026 15:00;PB
B-0046;Cali;CO;3.421468;-76.550460;31.36;45.5;26.82;02/09/2026 15:45;PB
B-0047;Cartagena;CO;10.388934;-75.463085;20.16;67.1;1.08;02/09/2026 16:30;PB
B-0048;Cartagena;CO;10.399067;-75.457313;28.66;94.5;8.72;02/09/2026 17:15;PB
B-0049;Bogota;CO;4.718569;-74.034616;27.06;49.8;14.84;02/09/2026 18:00;PB
B-0050;Medellin;CO;6.266918;-75.564010;31.15;67.9;2.20;02/09/2026 18:45;PB
B-0051;Bogota;CO;4.735736;-74.093363;26.47;49.7;23.33;02/09/2026 19:30;PB
B-0052;Cali;CO;3.420277;-76.521675;31.60;47.7;3.29;02/09/2026 20:15;PB
B-0053;Bogota;CO;4.672571;-74.081241;24.56;47.9;16.63;02/09/2026 21:00;PB
B-0054;Bogota;CO;4.705054;-74.033523;31.94;47.5;26.46;02/09/2026 21:45;PB
B-0055;Cali;CO;3.452124;-76.518662;22.17;72.6;8.44;02/09/2026 22:30;PB
B-0056;Barranquilla;CO;10.978272;-74.761475;20.83;75.6;1.26;02/09/2026 23:15;PB
B-0057;Bogota;CO;4.681792;-74.053121;24.37;44.3;13.92;03/09/2026 00:00;PB
B-0058;Cartagena;CO;10.396174;-75.463645;23.81;66.3;20.75;03/09/2026 00:45;PB
B-0059;Cali;CO;3.458873;-76.493780;25.79;45.5;30.66;03/09/2026 01:30;PB
B-0060;Cartagena;CO;10.386527;-75.496452;24.01;76.6;12.44;03/09/2026 02:15;PB
B-0061;Cartagena;CO;10.373730;-75.495786;20.13;66.2;28.97;03/09/2026 03:00;PB
B-0062;Barranquilla;CO;10.978277;-74.814243;25.75;94.4;16.01;03/09/2026 03:45;PB
B-0063;Barranquilla;CO;11.007346;-74.811908;28.42;65.9;23.43;03/09/2026 04:30;PB
B-0064;Barranquilla;CO;11.000289;-74.774173;29.04;73.5;27.08;03/09/2026 05:15;PB
B-0065;Cali;CO;3.482316;-76.540919;29.27;68.0;13.99;03/09/2026 06:00;PB
B-0066;Cali;CO;3.484708;-76.566525;22.93;56.1;19.38;03/09/2026 06:45;PB
B-0067;Bogota;CO;4.694926;-74.040328;30.22;71.2;21.41;03/09/2026 07:30;PB
B-0068;Barranquilla;CO;10.997748;-74.788329;21.35;80.4;20.08;03/09/2026 08:15;PB
B-0069;Medellin;CO;6.280965;-75.603215;19.72;89.6;4.01;03/09/2026 09:00;PB
B-0070;Cartagena;CO;10.416115;-75.445972;26.28;45.7;31.29;03/09/2026 09:45;PB
B-0071;Medellin;CO;6.254774;-75.548473;24.24;67.0;5.04;03/09/2026 10:30;PB
B-0072;Barranquilla;CO;10.977262;-74.764143;28.82;56.5;24.52;03/09/2026 11:15;PB
B-0073;Bogota;CO;4.695098;-74.078690;28.16;58.8;19.89;03/09/2026 12:00;PB
B-0074;Medellin;CO;6.225608;-75.596480;24.04;50.1;13.22;03/09/2026 12:45;PB
B-0075;Cali;CO;3.442170;-76.497452;30.79;69.4;22.01;03/09/2026 13:30;PB
B-0076;Cali;CO;3.448907;-76.546380;28.38;82.7;13.16;;PB
B-0077;Medellin;CO;6.242631;-75.610630;26.70;91.2;31.09;03/09/2026 15:00;PB
B-0078;Medellin;CO;6.225300;-75.598024;18.95;74.2;23.74;03/09/2026 15:45;PB
B-0079;Cartagena;CO;10.364258;-75.481376;29.65;48.0;13.18;03/09/2026 16:30;PB
B-0080;Cartagena;CO;10.399609;-75.483386;20.33;88.7;18.32;03/09/2026 17:15;PB
B-0081;Medellin;CO;6.254690;-75.604991;18.02;52.0;14.10;03/09/2026 18:00;PB
B-0082;Medellin;CO;6.248689;-75.571594;29.66;69.8;5.50;03/09/2026 18:45;PB
B-0083;Barranquilla;CO;10.982599;-74.808582;23.04;67.7;4.81;03/09/2026 19:30;PB
B-0084;Medellin;CO;6.279666;-75.559892;23.99;48.0;15.20;03/09/2026 20:15;PB
B-0085;Bogota;CO;4.683692;-74.049299;21.73;67.3;21.05;03/09/2026 21:00;PB
B-0086;Cali;CO;3.448502;-76.524475;23.61;86.4;23.47;03/09/2026 21:45;PB
B-0087;Medellin;CO;6.215959;-75.542297;30.26;59.0;21.53;03/09/2026 22:30;PB
B-0088;Bogota;CO;4.745321;-74.079819;25.25;83.0;28.10;03/09/2026 23:15;PB
B-0089;Barranquilla;CO;10.967500;-74.804884;30.09;51.4;21.92;04/09/2026 00:00;PB
B-0090;Barranquilla;CO;10.984349;-74.762558;30.44;61.1;4.66;04/09/2026 00:45;PB
B-0091;Cali;CO;3.417520;-76.541574;29.34;51.5;19.04;04/09/2026 01:30;PB
B-0092;Bogota;CO;4.727319;-74.068923;30.93;60.4;3.83;04/09/2026 02:15;PB
B-0093;Medellin;CO;6.247925;-75.595877;29.28;54.1;17.09;04/09/2026 03:00;PB
B-0094;Barranquilla;CO;10.949548;-74.761960;21.93;59.5;23.32;04/09/2026 03:45;PB
B-0095;Medellin;CO;6.239856;-75.582026;27.90;57.0;21.29;04/09/2026 04:30;PB
B-0096;Cartagena;CO;10.351098;-75.481555;22.84;56.5;11.42;04/09/2026 05:15;PB
B-0097;Cartagena;CO;10.358681;-75.493460;21.78;60.6;1.18;04/09/2026 06:00;PB
B-0098;Cartagena;CO;10.387985;-75.496282;18.90;91.4;4.57;04/09/2026 06:45;PB
B-0099;Cali;CO;3.449948;-76.533251;30.84;76.8;12.27;04/09/2026 07:30;PB
B-0100;Medellin;CO;6.242826;-75.604707;27.57;79.7;7.96;04/09/2026 08:15;PB
B-0101;Barranquilla;CO;10.940769;-74.815210;18.20;59.5;16.37;04/09/2026 09:00;PB
B-0102;Cali;CO;3.430216;-76.508405;22.85;61.8;21.59;04/09/2026 09:45;PB
B-0103;Bogota;CO;4.686344;-74.097470;20.63;50.9;25.64;04/09/2026 10:30;PB
B-0104;Bogota;CO;4.707056;-74.095763;19.31;61.9;26.31;04/09/2026 11:15;PB
B-0105;Medellin;CO;6.281217;-75.568710;31.72;63.9;11.24;04/09/2026 12:00;PB
B-0106;Medellin;CO;6.278569;-75.576891;22.78;70.0;29.71;04/09/2026 12:45;PB
B-0107;Cartagena;CO;10.380324;-75.506046;19.53;44.3;10.90;04/09/2026 13:30;PB
B-0108;Medellin;CO;6.262534;-75.546718;23.20;45.9;31.49;04/09/2026 14:15;PB
B-0109;Barranquilla;CO;10.992017;-74.763356;18.26;80.4;24.39;04/09/2026 15:00;PB
B-0110;Cartagena;CO;10.379532;-75.451023;18.15;46.9;17.72;04/09/2026 15:45;PB
B-0111;Cartagena;CO;10.413053;-75.506164;28.18;48.2;25.39;04/09/2026 16:30;PB
B-0112;Cartagena;CO;10.383222;-75.469265;25.00;90.5;11.39;04/09/2026 17:15;PB
B-0113;Cartagena;CO;10.398157;-75.507689;18.28;69.2;21.09;04/09/2026 18:00;PB
B-0114;Bogota;CO;4.674679;-74.058394;error;64.0;6.68;04/09/2026 18:45;PB
B-0115;Bogota;CO;4.729888;-74.069887;23.61;63.2;-7.40;04/09/2026 19:30;PB
B-0116;Cartagena;CO;10.376653;-75.502311;21.25;92.1;13.96;04/09/2026 20:15;PB
B-0117;Cali;CO;3.469638;-76.560249;21.51;94.4;9.40;04/09/2026 21:00;PB
B-0118;Medellin;CO;6.231676;-75.551061;30.84;50.2;2.17;04/09/2026 21:45;PB
B-0119;Bogota;CO;4.729774;-74.089590;19.93;46.3;15.85;04/09/2026 22:30;PB
B-0120;Medellin;CO;6.241158;-75.597960;30.28;86.2;20.89;04/09/2026 23:15;PB
B-0121;Bogota;CO;4.710435;-74.086685;24.34;42.3;18.19;05/09/2026 00:00;PB
B-0122;Bogota;CO;4.706045;-74.055649;22.25;94.3;10.23;05/09/2026 00:45;PB
B-0123;Bogota;CO;4.674518;-74.061249;19.21;84.9;16.82;05/09/2026 01:30;PB
B-0124;Cali;CO;3.420113;-76.534695;24.28;56.0;24.51;05/09/2026 02:15;PB
B-0125;Medellin;CO;6.278292;-75.545228;22.07;43.8;6.54;05/09/2026 03:00;PB
B-0126;Bogota;CO;4.677142;-74.039806;25.36;89.8;25.83;05/09/2026 03:45;PB
B-0127;Cartagena;CO;10.409409;-75.457889;19.95;70.7;27.53;05/09/2026 04:30;PB
B-0128;;CO;10.956283;-74.799257;19.97;88.5;11.32;05/09/2026 05:15;PB
B-0129;Medellin;CO;6.230733;-75.586061;18.94;55.0;6.14;05/09/2026 06:00;PB
B-0130;Medellin;CO;6.270455;-75.547733;28.61;66.6;23.09;05/09/2026 06:45;PB
B-0131;Cartagena;CO;10.391717;-75.510024;21.75;66.0;18.42;05/09/2026 07:30;PB
B-0132;Bogota;CO;4.730560;-74.077727;21.91;51.1;9.95;05/09/2026 08:15;PB
B-0133;Medellin;CO;6.215123;-75.571336;18.68;88.5;29.32;05/09/2026 09:00;PB
B-0134;Cali;CO;3.456456;-76.560639;19.98;59.3;23.10;05/09/2026 09:45;PB
B-0135;Cartagena;;10.429149;-75.474760;21.41;64.8;13.44;05/09/2026 10:30;PB
B-0136;Barranquilla;CO;10.932311;-74.766301;27.81;67.2;26.35;05/09/2026 11:15;PB
B-0137;Cali;CO;3.449799;-76.550635;31.78;42.1;17.99;05/09/2026 12:00;PB
B-0138;Medellin;CO;6.209846;-75.617255;19.76;85.7;13.17;05/09/2026 12:45;PB
B-0139;Barranquilla;CO;10.963644;-74.765649;19.98;44.8;21.22;05/09/2026 13:30;PB
B-0140;Cali;CO;3.462843;-76.536120;18.33;90.9;9.70;05/09/2026 14:15;PB
B-0141;Bogota;CO;4.690726;-74.046457;23.89;43.1;11.23;05/09/2026 15:00;PB
B-0142;Barranquilla;CO;10.953856;-74.804758;30.08;56.9;30.71;05/09/2026 15:45;PB
B-0143;Bogota;CO;4.710087;-74.055196;23.19;70.8;11.34;05/09/2026 16:30;PB
B-0144;Barranquilla;CO;10.968612;-74.812369;24.44;94.1;10.28;05/09/2026 17:15;PB
B-0145;Cartagena;CO;10.411420;-75.484945;18.42;55.8;14.21;05/09/2026 18:00;PB
B-0146;Medellin;CO;6.213320;-75.607372;;77.2;17.39;05/09/2026 18:45;PB
B-0147;Medellin;CO;6.215223;-75.595145;21.52;90.4;22.55;05/09/2026 19:30;PB
B-0148;Medellin;CO;6.229047;-75.582356;25.39;50.4;0.52;05/09/2026 20:15;PB
B-0149;Cartagena;CO;10.422240;-75.440834;22.46;91.2;2.73;05/09/2026 21:00;PB
B-0150;Medellin;CO;6.257784;-75.579989;27.10;91.5;14.55;05/09/2026 21:45;PB
B-0151;Bogota;CO;4.735771;-74.077543;20.33;63.4;13.02;05/09/2026 22:30;PB
B-0152;Bogota;CO;4.691968;-74.048414;26.41;58.8;21.55;05/09/2026 23:15;PB
B-0153;Medellin;CO;6.244615;-75.598684;18.37;59.5;24.35;06/09/2026 00:00;PB
B-0154;Cali;CO;3.440118;-76.508316;24.53;64.4;24.53;06/09/2026 00:45;PB
B-0155;Cali;CO;3.442221;-76.559813;28.46;61.3;20.87;06/09/2026 01:30;PB
B-0156;Barranquilla;CO;10.970824;-74.747023;25.91;50.0;6.99;06/09/2026 02:15;PB
B-0157;Medellin;CO;6.261739;-75.565849;28.41;52.9;29.88;06/09/2026 03:00;PB
B-0158;Cali;CO;3.485787;-76.514119;19.33;61.9;17.56;06/09/2026 03:45;PB
B-0159;Cali;CO;3.432827;-76.567812;29.18;93.0;14.58;06/09/2026 04:30;PB
B-0160;Bogota;CO;4.726063;-74.062300;22.92;48.0;9.11;06/09/2026 05:15;PB
B-0161;Cali;CO;3.412324;-76.565083;21.28;90.1;25.85;06/09/2026 06:00;PB
B-0162;Barranquilla;CO;10.958792;-74.781611;27.15;78.5;24.53;06/09/2026 06:45;PB
B-0163;Medellin;CO;6.269748;-75.556121;18.10;62.8;15.92;06/09/2026 07:30;PB
B-0164;Medellin;CO;6.244122;-75.595315;21.79;50.6;30.83;06/09/2026 08:15;PB
B-0165;Cali;CO;3.488147;-76.571014;25.62;79.8;23.02;06/09/2026 09:00;PB
B-0166;Barranquilla;CO;10.958799;-74.759023;18.44;78.3;26.66;06/09/2026 09:45;PB
B-0167;Medellin;CO;6.260506;-75.560394;24.57;57.9;6.79;06/09/2026 10:30;PB
B-0168;Bogota;CO;4.748934;-74.095437;23.14;55.8;26.40;06/09/2026 11:15;PB
B-0169;Cali;CO;3.423021;-76.527198;26.78;53.4;28.26;06/09/2026 12:00;PB
B-0170;Bogota;CO;4.741808;-74.054538;26.58;89.9;17.68;06/09/2026 12:45;PB
B-0171;Barranquilla;CO;10.940376;-74.789329;26.75;79.6;4.54;31/13/2026 28:75;PB
B-0172;Cali;CO;3.465125;-76.503321;24.53;68.1;14.21;06/09/2026 14:15;PB
B-0173;Bogota;CO;4.734731;-74.110678;18.54;45.7;5.79;06/09/2026 15:00;PB
B-0174;Cartagena;CO;10.386076;-75.480096;31.27;65.3;23.86;06/09/2026 15:45;PB
B-0175;Cartagena;CO;10.417328;-75.479045;24.53;62.8;15.43;06/09/2026 16:30;PB
B-0176;Cartagena;CO;10.353531;-75.486107;24.67;56.9;7.28;06/09/2026 17:15;PB
B-0177;Bogota;CO;4.722254;-74.110858;25.40;89.8;27.65;06/09/2026 18:00;PB
B-0178;Barranquilla;CO;10.959621;-74.820013;31.76;69.7;28.03;06/09/2026 18:45;PB
B-0179;Bogota;CO;4.673964;-74.034416;22.10;92.0;24.00;06/09/2026 19:30;PB
B-0180;Cali;CO;3.432854;-76.510171;24.29;51.7;1.16;06/09/2026 20:15;PB
B-0181;Cali;CO;3.435881;-76.525623;29.82;55.3;25.95;06/09/2026 21:00;PB
B-0182;Barranquilla;CO;10.954365;-74.812655;20.70;83.1;6.13;06/09/2026 21:45;PB
B-0183;Cartagena;CO;10.420609;-75.492821;21.06;44.7;10.70;06/09/2026 22:30;PB
B-0184;Bogota;CO;4.717568;-74.060867;27.85;44.5;8.10;06/09/2026 23:15;PB
B-0185;Medellin;CO;6.272759;-75.571722;29.50;69.6;27.49;07/09/2026 00:00;PB
B-0186;Cartagena;CO;10.365103;-75.474088;20.58;85.5;30.49;07/09/2026 00:45;PB
B-0187;Cartagena;CO;10.424440;-75.445639;18.40;65.4;22.11;07/09/2026 01:30;PB
B-0188;Barranquilla;CO;10.997897;-74.752421;20.92;61.0;6.65;07/09/2026 02:15;PB
B-0189;Cali;CO;3.465329;-76.546252;23.97;86.4;27.74;07/09/2026 03:00;PB
B-0190;Cali;CO;3.462974;188.450000;23.16;69.7;13.86;07/09/2026 03:45;PB
B-0191;Medellin;CO;6.261382;-75.565172;26.07;81.3;3.90;07/09/2026 04:30;PB
B-0192;Cali;CO;3.420659;-76.545911;21.13;88.6;5.08;07/09/2026 05:15;PB
B-0193;Bogota;CO;4.734050;-74.088065;26.96;71.8;19.32;07/09/2026 06:00;PB
B-0194;Barranquilla;CO;10.949407;-74.748859;19.26;90.8;25.13;07/09/2026 06:45;PB
B-0195;Cartagena;CO;10.358538;-75.465937;21.31;76.8;23.95;07/09/2026 07:30;PB
B-0196;Bogota;CO;4.723226;-74.096170;31.30;88.4;5.04;07/09/2026 08:15;PB
B-0197;Medellin;CO;6.241213;-75.615546;29.72;70.3;14.27;07/09/2026 09:00;PB
B-0198;Bogota;CO;4.731164;-74.067246;31.54;86.8;3.57;07/09/2026 09:45;PB
B-0199;Cali;CO;3.485329;-76.564481;26.02;79.1;12.59;07/09/2026 10:30;PB
B-0200;Medellin;CO;6.261482;-75.558736;27.27;78.0;12.81;07/09/2026 11:15;PB
